id,problem_type,is_optimization,type_reason,solution_space_size,is_solution_space_complete,stop_reason,exit_status,runtime_sec,space_counting_mode,exec_status,exec_error,num_decision_variables,num_instances,has_example_instance,category,source
abbots_puzzle,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.000256,feasible,ok,nan,3,0,False,hakan_examples,http://www.hakank.org/cpmpy/abbots_puzzle.py
added_corners,CSP,False,no explicit objective call in code,8.0,True,complete,OPTIMAL,0.0077333,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/added_corner.py
ages_of_the_sons,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0048596,feasible,ok,nan,3,0,False,hakan_examples,http://www.hakank.org/cpmpy/ages_of_the_sons.py
age_changing,CSP,False,no explicit objective call in code,2.0,True,complete,OPTIMAL,0.041322,feasible,ok,nan,2,0,False,hakan_examples,http://www.hakank.org/cpmpy/age_changing.py
aircraft_assignment,COP,True,explicit model.minimize/maximize in code,50.0,True,complete,OPTIMAL,0.0058549,feasible,ok,nan,1,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/aircraft_assignment
aircraft_landing,COP,True,explicit model.minimize/maximize in code,583547,True,complete,OPTIMAL,68.6283363,feasible,ok,,2,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/tree/main/dataset/ComplexOR/aircraft_landing
allergy,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0006985,feasible,ok,nan,8,0,False,hakan_examples,http://www.hakank.org/cpmpy/allergy.py
among,CSP,False,no explicit objective call in code,229944,False,time_limit,FEASIBLE,300.0024278,feasible,ok,Reached time_limit=300s (runtime=300.0024278),1,1,True,hakan_examples,http://www.hakank.org/cpmpy/among.py
appointment_scheduling,CSP,False,no explicit objective call in code,4.0,True,complete,OPTIMAL,0.0011102,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/appointment_scheduling.py
archery_puzzle,COP,True,explicit model.minimize/maximize in code,2664.0,True,complete,OPTIMAL,1.4729901,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/archery_puzzle.py
