problem_id,generator_llm,language,label,judge_llm,approach,judgment,succeed,description,updated_at
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,anthropic/claude-sonnet-4.6,reference_based,equivalent,yes,"The candidate model has identical constraints to the reference model: people sum to 100, bushels equation (multiplied by 2 to clear fractions) is the same, and the five-times relationship between women and men is equivalent. Only trivial reordering of terms differs.",2026-06-25T00:45:44
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,anthropic/claude-sonnet-4.6,reference_free,equivalent,yes,"The model correctly encodes all three constraints: total people sum to 100, the bushel constraint (multiplied by 2 to avoid fractions, yielding 6*men + 4*women + children == 200), and the five-times relationship between women and men. The solution will correctly produce men=5, women=25, children=70.",2026-06-25T00:39:55
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,deepseek/deepseek-v4-flash,reference_based,equivalent,yes,"The candidate uses the same constraints as the reference, just with reordered terms (6*men vs men*6, women==5*men vs men*5==women), which are semantically identical. Both models encode the same solution space and will produce the same unique integer solution.",2026-06-25T00:49:47
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,deepseek/deepseek-v4-flash,reference_free,equivalent,yes,"The candidate's constraints correctly model the total people, bushel distribution (multiplied by 2), and the women-to-men ratio, matching the problem's intended equations. The code is executable and finds the unique integer solution.",2026-06-25T00:43:51
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,google/gemini-3.5-flash,reference_based,equivalent,yes,"The candidate model implements the exact same logic and equations as the reference model, only with minor commutative variations in the expressions which are semantically identical.",2026-06-25T00:49:29
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,google/gemini-3.5-flash,reference_free,equivalent,yes,"The candidate model correctly represents the problem constraints: the total number of people is 100, the scaled corn sum is 200 (to avoid floats), and there are five times as many women as men. The syntax and variable definitions are correct for CPMpy.",2026-06-25T00:43:26
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,meta-llama/llama-4-scout,reference_based,equivalent,yes,"The candidate model has the same constraints as the reference model, ensuring it encodes the problem equivalently.",2026-06-25T00:45:01
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,meta-llama/llama-4-scout,reference_free,unsound,no,"The model misrepresents the bushel distribution constraint, potentially allowing invalid solutions.",2026-06-25T00:39:12
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,mistralai/codestral-2508,reference_based,equivalent,yes,"The candidate model exactly matches the reference model's constraints and solution space, including the correct variable bounds and constraint relationships.",2026-06-25T00:44:49
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,mistralai/codestral-2508,reference_free,equivalent,yes,"The candidate correctly models the problem constraints and produces the correct solution (20 men, 100 women, 0 children) that satisfies all given conditions.",2026-06-25T00:39:04
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,openai/gpt-4o-mini,reference_based,equivalent,yes,"The candidate's model constraints are semantically equivalent to the reference model, with the same meanings for each variable and the same solution space. The reordering of terms in the second constraint does not affect the semantics of the model.",2026-06-25T00:44:41
abbots_puzzle,openai/gpt-5.4-mini,CPMpy,equivalent,openai/gpt-4o-mini,reference_free,unsound-incomplete,no,"The model allows for solutions that do not satisfy the problem's constraints (e.g., unrealistic ratios leading to impossible scenarios) while also potentially leaving valid solutions unaccounted for due to its setup. Additionally, the constraints may not encompass all necessary relations to derive the number of children correctly.",2026-06-25T00:38:57
